"Id","Area","Perim","Capacity","F_d600_p0.5_beta1_graph"
"1","10000.0","400.0","10000.0","8856.424617848299"
"2","10000.0","400.0","10000.0","26999.766171039577"
"3","10000.0","400.0","10000.0","18888.867366950948"
"4","10000.0","400.0","10000.0","26458.812624004873"
"5","10000.0","400.0","10000.0","27450.90824947536"
"6","10000.0","400.0","10000.0","24316.29006974816"
"7","10000.0","400.0","10000.0","25700.845967915695"
"8","10000.0","400.0","10000.0","20946.138082788042"
"9","10000.0","400.0","10000.0","18034.768156959763"
"10","10000.0","400.0","10000.0","23825.93296192779"
