"Coord1","Coord2","Cost","Length"
"59550.0_37150.0","59650.0_36650.0","17.3137088","682.842712474619"
"38750.0_48650.0","38850.0_48150.0","26.0","600.0"
"34550.0_24050.0","34750.0_23550.0","11.2426408","724.2640687119285"
"57350.0_58950.0","57550.0_57950.0","16.8284272","1282.842712474619"
"42150.0_34150.0","42250.0_33650.0","27.071068","541.4213562373095"
"36250.0_25550.0","36650.0_24550.0","58.28427199999999","1165.685424949238"
"21750.0_15450.0","21950.0_15750.0","8.6568544","382.842712474619"
"13850.0_14550.0","13950.0_14850.0","9.4142136","541.4213562373095"
"55550.0_41850.0","56050.0_42550.0","42.526912800000005","1107.1067811865476"
"14950.0_11950.0","15050.0_13050.0","16.8284272","1282.842712474619"
"29150.0_23950.0","29450.0_24050.0","9.4142136","541.4213562373095"
"30950.0_9150.0","31450.0_6750.0","63.04163119999997","3255.6349186104044"
"11250.0_41350.0","11450.0_40550.0","20.8284272","882.842712474619"
"26650.0_15750.0","27050.0_13950.0","33.899495200000004","2107.106781186548"
"27750.0_13250.0","27950.0_12750.0","11.8284272","782.842712474619"
"55850.0_43350.0","56650.0_42550.0","42.48528159999999","1765.685424949238"
"44250.0_19350.0","45050.0_18950.0","43.071068","1424.2640687119285"
"31450.0_6750.0","31850.0_6650.0","22.071068","441.4213562373095"
"39050.0_20250.0","39850.0_19850.0","15.8994952","1107.1067811865476"
"3850.0_44850.0","4550.0_43750.0","39.798990399999994","3179.898987322333"
"30950.0_9150.0","31850.0_6650.0","59.11269919999998","3579.8989873223327"
"9150.0_10950.0","9250.0_10450.0","27.071068","541.4213562373095"
"43150.0_19750.0","43350.0_19250.0","11.8284272","782.842712474619"
"25550.0_20350.0","25650.0_19850.0","11.4142136","741.4213562373095"
"11450.0_37650.0","11850.0_36050.0","93.29646639999999","2155.6349186104044"
"15350.0_24550.0","15750.0_25350.0","51.21320399999999","1024.2640687119285"
"10550.0_35150.0","10850.0_35550.0","9.8284272","582.842712474619"
"31750.0_28650.0","32750.0_30050.0","79.21320399999999","3755.634918610405"
"51050.0_38350.0","52250.0_38750.0","46.242640800000004","1424.2640687119285"
"17450.0_28850.0","17850.0_28450.0","10.2426408","624.2640687119285"
"18550.0_5950.0","18950.0_6650.0","29.8284272","982.842712474619"
"11850.0_20050.0","12050.0_21250.0","19.6568544","1565.685424949238"
"10950.0_6350.0","11750.0_6350.0","20.2426408","1224.2640687119285"
"29950.0_30650.0","30250.0_30750.0","13.6568544","482.842712474619"
"37750.0_31750.0","38350.0_31850.0","23.142136","865.685424949238"
"6450.0_21550.0","6550.0_21150.0","16.3137088","582.842712474619"
"8550.0_29850.0","11450.0_28950.0","127.88225279999992","8525.483399593906"
"10350.0_8750.0","11150.0_8750.0","24.2426408","1141.4213562373095"
"2350.0_1450.0","2650.0_950.0","17.6568544","1365.685424949238"
"3950.0_19150.0","4150.0_20550.0","44.14213600000001","1848.528137423857"
"7650.0_59350.0","8350.0_59850.0","45.35534","907.1067811865476"
"33950.0_13150.0","35150.0_11650.0","26.5563496","2255.6349186104044"
"42750.0_36050.0","43450.0_35850.0","39.142135999999994","782.842712474619"
"9150.0_49250.0","9750.0_49550.0","11.8284272","782.842712474619"
"25350.0_43150.0","25950.0_43550.0","24.8284272","882.842712474619"
"29650.0_9350.0","30250.0_9450.0","13.2426408","924.2640687119285"
"56850.0_47250.0","57150.0_48450.0","58.4142136","1441.4213562373095"
"26850.0_42750.0","27850.0_43250.0","51.48528159999999","1382.842712474619"
"43250.0_26750.0","44350.0_26050.0","25.7989904","1531.370849898476"
"54550.0_31350.0","54650.0_31550.0","12.071068","241.4213562373095"
"33450.0_12650.0","33550.0_12750.0","6.0","200.0"
"21150.0_40550.0","21250.0_40450.0","6.0","200.0"
"28250.0_38750.0","28350.0_38650.0","6.0","200.0"
"25250.0_53550.0","25350.0_53450.0","6.0","200.0"
"42750.0_14550.0","43050.0_13950.0","17.7279224","724.2640687119285"
"38950.0_38550.0","39050.0_38950.0","20.3137088","582.842712474619"
"37850.0_22250.0","38150.0_22650.0","26.213204","524.2640687119285"
"52950.0_14550.0","53250.0_14750.0","8.4142136","441.4213562373095"
