"Coord1","Coord2","Cost","Length"
"15650.0_5050.0","15650.0_5250.0","6.0","200.0"
"53150.0_7650.0","53150.0_7850.0","8.0","400.0"
"58450.0_39250.0","58650.0_38250.0","10.8284272","1082.842712474619"
"50050.0_8850.0","50050.0_10450.0","16.0","1600.0"
"24450.0_15050.0","24650.0_14150.0","9.8284272","982.842712474619"
"38250.0_31650.0","38850.0_29350.0","25.4852816","2548.528137423857"
"56250.0_26150.0","56650.0_28350.0","23.6568544","2365.685424949238"
"48750.0_18650.0","49150.0_17650.0","11.6568544","1165.685424949238"
"31350.0_10050.0","34550.0_6650.0","66.87005839999996","6687.005768508881"
"21350.0_34850.0","21650.0_35050.0","3.8284272","382.842712474619"
"38550.0_12950.0","38950.0_12850.0","4.4142136","441.4213562373095"
"30950.0_9150.0","31450.0_6750.0","63.04163119999997","3255.6349186104044"
"7350.0_34650.0","12050.0_34350.0","48.24264079999999","4824.264068711928"
"13150.0_47350.0","13350.0_48150.0","20.8284272","882.842712474619"
"21350.0_34850.0","21750.0_40450.0","58.48528159999999","5848.5281374238575"
"14250.0_14950.0","14550.0_11850.0","33.899495200000004","3389.9494936611663"
"40250.0_31350.0","40850.0_30650.0","38.7989904","1065.685424949238"
"11250.0_49650.0","11450.0_48850.0","8.8284272","882.842712474619"
"27050.0_15550.0","27850.0_12350.0","35.3137088","3531.370849898476"
"15850.0_6850.0","16050.0_6750.0","2.4142136","241.4213562373095"
"43550.0_54650.0","44250.0_54350.0","35.4558448","965.685424949238"
"21650.0_35050.0","21750.0_40450.0","55.242640800000004","5524.264068711929"
"16450.0_5150.0","17450.0_2750.0","28.142136","2814.213562373095"
"31950.0_29750.0","33050.0_31450.0","30.7279224","3072.7922061357854"
"18350.0_21550.0","18750.0_17950.0","39.3137088","3931.370849898476"
"1250.0_47050.0","3050.0_44450.0","38.52691279999999","3852.6911934581185"
"250.0_27250.0","1150.0_24350.0","32.7279224","3272.792206135786"
"18450.0_4050.0","18650.0_4850.0","8.8284272","882.842712474619"
"28050.0_49950.0","28950.0_48950.0","14.3137088","1431.370849898476"
"33650.0_13250.0","38950.0_12850.0","68.01219439999996","6801.219330881975"
"31950.0_26150.0","32750.0_26950.0","11.3137088","1131.370849898476"
"6350.0_16350.0","6550.0_15150.0","14.4852816","1448.528137423857"
"1150.0_49150.0","2150.0_50350.0","16.142136","1614.213562373095"
"26750.0_22150.0","27450.0_21050.0","14.4852816","1448.528137423857"
"33650.0_13250.0","38550.0_12950.0","65.59798079999996","6559.797974644667"
"38050.0_31550.0","39450.0_31250.0","15.2426408","1524.2640687119285"
"24050.0_53050.0","24650.0_53450.0","7.6568544","765.685424949238"
"14250.0_14950.0","14950.0_11850.0","33.899495200000004","3389.9494936611663"
"3650.0_51050.0","3750.0_51050.0","1.0","100.0"
"40650.0_24150.0","42650.0_24750.0","24.7279224","2472.792206135786"
"11750.0_6450.0","16450.0_8950.0","57.35533999999994","5735.533905932738"
"11750.0_20050.0","11950.0_21250.0","14.2426408","1424.2640687119285"
"48150.0_35050.0","48950.0_34250.0","41.112699199999994","1448.528137423857"
"51650.0_49850.0","52650.0_49650.0","47.84062159999999","1472.7922061357856"
"18550.0_5950.0","18950.0_6650.0","29.8284272","982.842712474619"
"11850.0_18650.0","12050.0_19050.0","4.8284272","482.842712474619"
"36950.0_44350.0","38050.0_43650.0","13.8994952","1389.9494936611666"
"550.0_23850.0","1050.0_24450.0","8.071068","807.1067811865476"
"50050.0_8750.0","50450.0_9050.0","9.8284272","582.842712474619"
"44450.0_48850.0","44750.0_48950.0","3.4142136","341.4213562373095"
"34650.0_26950.0","34850.0_27250.0","19.142136","382.842712474619"
"47550.0_36150.0","49550.0_35750.0","21.6568544","2165.685424949238"
"38150.0_9950.0","40950.0_10850.0","31.7279224","3172.792206135786"
"14550.0_11850.0","14950.0_11850.0","4.0","400.0"
"7450.0_32250.0","10550.0_34050.0","38.455844799999994","3845.584412271571"
"18550.0_13350.0","20350.0_13250.0","41.62741759999999","2148.528137423857"
"8750.0_48650.0","11450.0_48850.0","27.8284272","2782.842712474619"
"14350.0_58850.0","17750.0_58150.0","39.24264079999999","3924.2640687119283"
"3750.0_44850.0","4750.0_46250.0","18.142136","1814.213562373095"
"47350.0_17250.0","50350.0_19350.0","42.79899039999998","4279.898987322333"
"12250.0_51050.0","12950.0_52550.0","17.8994952","1789.9494936611666"
"8750.0_48650.0","11250.0_49650.0","29.142136","2914.213562373095"
"48250.0_35050.0","51150.0_39050.0","52.012194399999956","5201.219330881976"
"29050.0_10650.0","30050.0_9350.0","34.3137088","2231.370849898476"
"7650.0_59350.0","8350.0_59850.0","45.35534","907.1067811865476"
"8350.0_31950.0","11450.0_36450.0","58.669048799999956","5866.904755831214"
"3050.0_44250.0","4950.0_41350.0","37.455844799999994","3745.584412271571"
"10350.0_56150.0","13550.0_51950.0","59.941126399999945","5994.112549695428"
"21750.0_54350.0","22350.0_53150.0","14.4852816","1448.528137423857"
"15050.0_50350.0","16350.0_49950.0","14.6568544","1465.685424949238"
"14450.0_48850.0","16650.0_49950.0","27.3847768","2738.477631085024"
"56050.0_45950.0","57450.0_47450.0","20.7989904","2079.898987322333"
"14250.0_36350.0","21350.0_37950.0","77.62741759999996","7762.741699796952"
"27050.0_50250.0","27450.0_50150.0","20.071068","641.4213562373095"
"29550.0_12250.0","29950.0_11650.0","38.284272","765.685424949238"
"26850.0_42750.0","27850.0_43250.0","51.48528159999999","1382.842712474619"
"13750.0_36250.0","22450.0_41050.0","111.56854399999992","11156.85424949238"
"7550.0_15950.0","7750.0_14350.0","17.4142136","1741.4213562373095"
"57350.0_47450.0","57450.0_44450.0","33.7279224","3372.792206135786"
"37950.0_56550.0","38050.0_56950.0","4.4142136","441.4213562373095"
"55850.0_28250.0","55950.0_28350.0","1.4142136","141.4213562373095"
"44250.0_53450.0","44250.0_54350.0","13.0","900.0"
"17750.0_20750.0","21250.0_22450.0","43.79899039999998","4379.898987322333"
"21350.0_34850.0","24750.0_38250.0","64.28427199999996","6428.427124746191"
"37950.0_30550.0","38050.0_31550.0","12.071068","1207.1067811865476"
"38250.0_31650.0","38350.0_31750.0","1.4142136","141.4213562373095"
"16650.0_50050.0","16750.0_49750.0","3.4142136","341.4213562373095"
"46350.0_16150.0","46750.0_16450.0","26.213204","524.2640687119285"
"38150.0_19750.0","38650.0_20550.0","10.071068","1007.1067811865476"
"3050.0_44250.0","6450.0_42650.0","40.62741759999999","4062.741699796952"
"21650.0_35050.0","24750.0_38250.0","61.04163119999997","6104.163056034262"
"38350.0_31750.0","38850.0_29350.0","26.071068","2607.106781186548"
"57150.0_59350.0","57450.0_58750.0","7.2426408","724.2640687119285"
"2150.0_50350.0","4750.0_50350.0","26.0","2600.0"
"950.0_46450.0","3750.0_44850.0","34.6274176","3462.741699796952"
"43550.0_54650.0","44250.0_53450.0","41.284272","1548.528137423857"
"21750.0_40450.0","24750.0_38250.0","39.11269919999998","3911.269837220809"
"55950.0_9250.0","56250.0_12650.0","36.071068","3607.106781186548"
"18950.0_36650.0","22650.0_36450.0","54.35533999999997","5435.533905932738"
"3750.0_51050.0","4250.0_48850.0","24.071068","2407.106781186548"
"49050.0_12850.0","49150.0_14150.0","75.35534","1507.1067811865476"
"34950.0_10150.0","35650.0_9050.0","13.8994952","1389.9494936611666"
"13550.0_43450.0","13750.0_43550.0","2.4142136","241.4213562373095"
"40450.0_25750.0","42350.0_24550.0","24.5563496","2455.6349186104044"
"27450.0_50050.0","28150.0_46950.0","34.7279224","3472.792206135786"
"4050.0_56750.0","4150.0_57050.0","9.4142136","541.4213562373095"
"44250.0_53550.0","45650.0_53650.0","14.4142136","1441.4213562373095"
"7250.0_22950.0","8350.0_26850.0","43.556349599999976","4355.634918610404"
"52150.0_15150.0","53650.0_15450.0","16.2426408","1624.2640687119285"
"56050.0_11550.0","57350.0_10150.0","19.3847768","1938.4776310850236"
"37950.0_30550.0","39450.0_31250.0","17.8994952","1789.9494936611666"
"11150.0_57750.0","13550.0_51950.0","69.69848559999996","6969.8484809835"
"3250.0_41350.0","6050.0_42050.0","44.69848559999997","4469.8484809835"
"14250.0_36350.0","14450.0_37850.0","15.8284272","1582.842712474619"
"27950.0_7650.0","30050.0_9250.0","27.6274176","2762.741699796952"
"3650.0_51050.0","4250.0_48850.0","24.4852816","2448.528137423857"
"1150.0_49150.0","4750.0_50350.0","40.97056319999999","4097.056274847714"
"48050.0_47750.0","48950.0_48750.0","20.3137088","1631.370849898476"
"12250.0_51050.0","14550.0_54850.0","47.52691279999996","4752.6911934581185"
"37750.0_31750.0","38250.0_31750.0","21.7279224","724.2640687119285"
"49050.0_3550.0","53850.0_3950.0","49.656854399999986","4965.685424949238"
"14450.0_37850.0","21350.0_37950.0","70.24264079999999","7024.264068711928"
"8950.0_34950.0","11650.0_36250.0","32.9705632","3297.056274847714"
"5450.0_29450.0","11550.0_34650.0","82.5391071999999","8253.910524340094"
"20050.0_8650.0","21950.0_7350.0","25.213204","2521.3203435596424"
"10350.0_56150.0","11150.0_57750.0","19.3137088","1931.370849898476"
"31150.0_26050.0","32750.0_26950.0","19.7279224","1972.7922061357856"
"19150.0_17650.0","20750.0_19250.0","26.142136","2614.213562373095"
"4950.0_27150.0","5450.0_26850.0","31.213204","624.2640687119285"
"27450.0_21050.0","28650.0_25450.0","51.45584479999995","5145.584412271571"
"17350.0_11250.0","18650.0_11550.0","15.6568544","1565.685424949238"
"950.0_46450.0","4750.0_46250.0","38.82842719999999","3882.842712474619"
"36750.0_59650.0","39250.0_59050.0","27.4852816","2748.528137423857"
"11950.0_6550.0","16450.0_8950.0","54.941126399999945","5494.112549695428"
"14250.0_15050.0","15550.0_15750.0","27.3137088","2331.370849898476"
"31150.0_26050.0","31950.0_26150.0","8.4142136","841.4213562373095"
"49850.0_33350.0","51350.0_33850.0","17.071068","1707.1067811865476"
"4950.0_41350.0","6450.0_42650.0","45.79899039999998","4579.898987322334"
"33050.0_31450.0","34650.0_33650.0","29.7989904","2979.898987322333"
"5450.0_56650.0","6950.0_57450.0","18.3137088","1831.370849898476"
"34750.0_31350.0","36950.0_32250.0","26.5563496","2655.6349186104044"
"46850.0_18450.0","49150.0_17850.0","26.6568544","2665.685424949238"
"33850.0_13450.0","35550.0_10750.0","34.87005839999999","3487.0057685088805"
"42050.0_4550.0","43350.0_5450.0","16.7279224","1672.7922061357856"
"42950.0_47950.0","43750.0_47750.0","8.8284272","882.842712474619"
"27950.0_12550.0","28350.0_13950.0","18.142136","1814.213562373095"
"30550.0_31250.0","31850.0_29650.0","21.3847768","2138.477631085024"
"11750.0_6450.0","11950.0_6550.0","2.4142136","241.4213562373095"
"16750.0_32750.0","17050.0_32750.0","3.8284272","382.842712474619"
"26650.0_31450.0","28150.0_30350.0","19.5563496","1955.6349186104046"
"12950.0_52550.0","14550.0_54850.0","29.6274176","2962.741699796952"
"34550.0_6650.0","35050.0_10050.0","36.071068","3607.106781186548"
"26750.0_22150.0","28650.0_25450.0","43.94112639999997","4394.112549695428"
"10650.0_13450.0","12550.0_13950.0","21.071068","2107.106781186548"
"31950.0_29750.0","34650.0_33650.0","58.52691279999996","5852.6911934581185"
"44350.0_12750.0","44950.0_13750.0","12.4852816","1248.528137423857"
"31350.0_10050.0","35050.0_10050.0","40.313708799999986","4031.370849898476"
"28550.0_25450.0","28550.0_25550.0","5.0","100.0"
"39350.0_31350.0","39350.0_31450.0","1.0","100.0"
"35550.0_10850.0","35750.0_9050.0","56.6690488","2438.477631085024"
"42650.0_21750.0","42850.0_21350.0","24.142136","482.842712474619"
"3050.0_44150.0","4650.0_40850.0","39.62741759999999","3962.741699796952"
"37050.0_58050.0","37350.0_57950.0","3.4142136","341.4213562373095"
"15650.0_5150.0","18450.0_4050.0","32.556349600000004","3255.6349186104044"
"37950.0_56550.0","38350.0_54750.0","19.6568544","1965.685424949238"
"57450.0_44450.0","57450.0_47450.0","34.142135999999994","3414.213562373095"
"33850.0_13450.0","40950.0_10850.0","85.87005839999995","8587.00576850888"
"10350.0_56150.0","12250.0_51050.0","65.11269919999994","6511.269837220809"
"58650.0_38250.0","58950.0_38550.0","4.2426408","424.26406871192853"
"45650.0_53650.0","45950.0_53950.0","4.2426408","424.26406871192853"
"27750.0_47950.0","28050.0_49950.0","22.8994952","2289.9494936611663"
"27850.0_12350.0","27950.0_12550.0","2.4142136","241.4213562373095"
"8350.0_26850.0","8450.0_21950.0","51.071068","5107.106781186547"
"27950.0_4950.0","28050.0_4850.0","6.0","200.0"
"42450.0_6250.0","42650.0_5950.0","3.8284272","382.842712474619"
"3050.0_44450.0","3050.0_47450.0","33.3137088","3331.370849898476"
"28150.0_29850.0","28250.0_29450.0","22.071068","441.4213562373095"
"46750.0_47250.0","47150.0_48250.0","11.6568544","1165.685424949238"
"58450.0_39250.0","58950.0_38550.0","9.071068","907.1067811865476"
"1250.0_47050.0","3050.0_47450.0","19.6568544","1965.685424949238"
"16850.0_12050.0","17350.0_11250.0","10.071068","1007.1067811865476"
"42750.0_4450.0","43350.0_5450.0","12.4852816","1248.528137423857"
"8950.0_34950.0","10550.0_34050.0","19.7279224","1972.7922061357856"
"43750.0_47750.0","44450.0_48850.0","13.8994952","1389.9494936611666"
"52350.0_30750.0","53550.0_30850.0","12.4142136","1241.4213562373095"
"46350.0_6550.0","46950.0_6550.0","30.0","600.0"
"26350.0_55250.0","26850.0_55250.0","11.0","700.0"
"20750.0_19250.0","21250.0_22450.0","38.21320399999999","3821.3203435596424"
"57450.0_58750.0","57950.0_56450.0","25.071068","2507.106781186548"
"59450.0_49750.0","59750.0_49650.0","3.4142136","341.4213562373095"
"27050.0_15550.0","27950.0_12550.0","33.7279224","3372.792206135786"
"15650.0_5150.0","18650.0_4850.0","31.2426408","3124.2640687119283"
"11450.0_36450.0","11550.0_34650.0","21.4852816","2148.528137423857"
"48750.0_18650.0","50750.0_18550.0","20.4142136","2041.4213562373095"
"16150.0_5350.0","18450.0_5950.0","27.9705632","2797.056274847714"
"12150.0_51150.0","12650.0_56950.0","60.07106799999998","6007.106781186548"
"27750.0_47950.0","28950.0_48950.0","16.142136","1614.213562373095"
"7450.0_32250.0","8950.0_34950.0","33.798990399999994","3379.898987322333"
"12950.0_52550.0","13550.0_51950.0","11.071068","1107.1067811865476"
"43750.0_47750.0","44750.0_48950.0","17.3137088","1731.370849898476"
"7250.0_23150.0","7350.0_26050.0","33.899495200000004","3389.9494936611663"
"49150.0_17650.0","50750.0_18550.0","20.8994952","2089.9494936611663"
"55850.0_28250.0","56850.0_28050.0","10.8284272","1082.842712474619"
"1650.0_2350.0","2250.0_950.0","16.4852816","1648.528137423857"
"16650.0_6850.0","16950.0_7450.0","11.2426408","724.2640687119285"
"22350.0_53150.0","22950.0_53750.0","8.4852816","848.5281374238571"
"30950.0_7550.0","31450.0_6750.0","46.55634959999999","1607.1067811865476"
"33850.0_13450.0","38150.0_9950.0","66.28427199999997","6628.42712474619"
"3650.0_41150.0","6050.0_42050.0","45.04163119999998","4504.163056034262"
"30950.0_7550.0","30950.0_9150.0","24.4852816","2048.528137423857"
"2850.0_56150.0","4050.0_57050.0","15.7279224","1572.7922061357856"
"10350.0_56150.0","12950.0_52550.0","49.69848559999997","4969.8484809835"
"14250.0_50950.0","15050.0_50250.0","38.35534","1089.9494936611666"
"1050.0_24450.0","1150.0_24350.0","1.4142136","141.4213562373095"
"29550.0_4050.0","31050.0_5050.0","19.142136","1914.213562373095"
"17750.0_20750.0","19150.0_17650.0","36.798990399999994","3679.898987322333"
"26950.0_3450.0","28050.0_4750.0","17.5563496","1755.6349186104046"
"2150.0_50350.0","3750.0_51050.0","18.8994952","1889.9494936611666"
"39850.0_24650.0","42650.0_24750.0","30.071068","3007.106781186548"
"3850.0_53950.0","4850.0_52050.0","23.142136","2314.213562373095"
"31850.0_29650.0","36950.0_32550.0","72.28427199999994","7228.42712474619"
"250.0_27250.0","1050.0_24450.0","31.3137088","3131.370849898476"
"1150.0_49150.0","3650.0_51050.0","32.870058400000005","3287.0057685088805"
"4250.0_48850.0","4750.0_50350.0","17.071068","1707.1067811865476"
"21750.0_54350.0","22950.0_53750.0","15.6568544","1565.685424949238"
"7150.0_28950.0","10950.0_31250.0","76.59798079999993","7259.797974644666"
"21750.0_40450.0","22650.0_36450.0","43.72792239999997","4372.792206135786"
"31150.0_10650.0","34950.0_10150.0","40.071068","4007.106781186548"
"12250.0_51050.0","13550.0_51950.0","16.7279224","1672.7922061357856"
"45350.0_49150.0","47050.0_47250.0","26.0416312","2604.1630560342614"
"49850.0_33350.0","51650.0_34450.0","22.5563496","2255.6349186104044"
"56050.0_45950.0","57450.0_44450.0","22.5563496","2255.6349186104044"
"46750.0_19950.0","49150.0_17850.0","35.0416312","3504.163056034262"
"51350.0_5950.0","53850.0_3950.0","43.62741759999999","4362.741699796952"
"250.0_27250.0","550.0_23850.0","35.24264079999999","3524.2640687119283"
"18950.0_36650.0","24750.0_38250.0","67.94112639999997","6794.112549695428"
"3850.0_16350.0","3950.0_16450.0","1.4142136","141.4213562373095"
"21350.0_34850.0","22650.0_36450.0","24.3137088","2431.370849898476"
"46650.0_11750.0","49250.0_12150.0","80.87005839999999","3272.792206135786"
"550.0_23850.0","1150.0_24350.0","8.071068","807.1067811865476"
"44050.0_12550.0","44950.0_13750.0","15.7279224","1572.7922061357856"
"11150.0_57750.0","14550.0_54850.0","62.355339999999956","6235.533905932738"
"1150.0_49150.0","3750.0_51050.0","33.870058400000005","3387.0057685088805"
"34950.0_4050.0","35950.0_3050.0","14.142136","1414.213562373095"
"54050.0_12650.0","56250.0_12650.0","69.11269919999997","6911.269837220809"
"8350.0_31950.0","11550.0_34650.0","46.355339999999984","4635.533905932738"
"34250.0_7150.0","35050.0_10050.0","32.3137088","3231.370849898476"
"13750.0_43550.0","14050.0_42150.0","15.2426408","1524.2640687119285"
"21650.0_35050.0","22650.0_36450.0","21.071068","2107.106781186548"
"20050.0_54250.0","20150.0_54150.0","1.4142136","141.4213562373095"
"30150.0_30550.0","34750.0_31350.0","49.313708799999986","4931.370849898476"
"2350.0_50650.0","3450.0_51550.0","19.3137088","1931.370849898476"
"2150.0_50350.0","3650.0_51050.0","17.8994952","1789.9494936611666"
"39850.0_24650.0","40650.0_24150.0","10.071068","1007.1067811865476"
"7350.0_24850.0","8250.0_26850.0","24.3137088","2431.370849898476"
"46750.0_19950.0","46850.0_18450.0","16.2426408","1624.2640687119285"
"7050.0_28950.0","12050.0_34350.0","87.9827575999999","8798.27560572969"
"33650.0_13250.0","41050.0_11150.0","84.45584479999994","8445.584412271572"
"48650.0_51350.0","48850.0_50850.0","11.2426408","724.2640687119285"
"11150.0_57750.0","12950.0_52550.0","59.45584479999995","5945.584412271572"
"50050.0_10450.0","50350.0_9050.0","15.2426408","1524.2640687119285"
"38050.0_56950.0","38350.0_54750.0","23.2426408","2324.2640687119283"
"49750.0_32850.0","49850.0_33250.0","22.071068","441.4213562373095"
"57350.0_47450.0","57450.0_47450.0","1.0","100.0"
"51350.0_33850.0","51650.0_34450.0","7.2426408","724.2640687119285"
"50050.0_8850.0","50350.0_9050.0","3.8284272","382.842712474619"
"31350.0_10050.0","34250.0_7150.0","63.112699199999966","6311.26983722081"
"9750.0_49450.0","11450.0_48850.0","19.4852816","1948.528137423857"
"3250.0_41350.0","3650.0_41150.0","4.8284272","482.842712474619"
"34250.0_7150.0","34550.0_6650.0","6.8284272","682.842712474619"
"17650.0_41450.0","17950.0_40950.0","31.213204","624.2640687119285"
"47350.0_32050.0","47450.0_32150.0","1.4142136","141.4213562373095"
"44050.0_12550.0","44350.0_12750.0","3.8284272","382.842712474619"
"3050.0_50450.0","3550.0_48650.0","21.7279224","2172.792206135786"
