"Coord1","Coord2","Cost","Length"
"14750.0_50450.0","16650.0_50050.0","20.6568544","2065.685424949238"
"50050.0_10350.0","50050.0_10450.0","1.0","100.0"
"16750.0_32750.0","16850.0_30850.0","19.4142136","1941.4213562373095"
"11150.0_6650.0","16450.0_8950.0","62.526912799999934","6252.6911934581185"
"1650.0_51950.0","2150.0_50550.0","16.6568544","1665.685424949238"
"13750.0_36250.0","21750.0_40450.0","103.49747599999992","10349.747468305834"
"56250.0_26150.0","56650.0_28350.0","23.6568544","2365.685424949238"
"49750.0_33350.0","50050.0_35050.0","18.2426408","1824.2640687119285"
"31350.0_10050.0","34550.0_6650.0","66.87005839999996","6687.005768508881"
"23050.0_14050.0","23450.0_14950.0","10.6568544","1065.685424949238"
"20750.0_19250.0","21150.0_22650.0","39.79899039999998","3979.8989873223336"
"14450.0_9350.0","16450.0_8950.0","24.142136","2414.213562373095"
"49050.0_34450.0","49750.0_33350.0","13.8994952","1389.9494936611666"
"29950.0_21250.0","30250.0_21950.0","8.2426408","824.2640687119285"
"11250.0_49650.0","11450.0_48850.0","8.8284272","882.842712474619"
"11150.0_6650.0","14450.0_9350.0","45.35533999999997","4535.533905932738"
"37750.0_20550.0","38350.0_21050.0","8.071068","807.1067811865476"
"21650.0_35050.0","21750.0_40450.0","55.242640800000004","5524.264068711929"
"32350.0_27750.0","32650.0_26650.0","12.2426408","1224.2640687119285"
"54050.0_12950.0","54850.0_9050.0","42.313708799999986","4231.370849898476"
"39850.0_8850.0","41050.0_11150.0","27.9705632","2797.056274847714"
"51150.0_39050.0","51450.0_38750.0","4.2426408","424.26406871192853"
"13750.0_36250.0","21650.0_35050.0","119.52691279999993","11952.69119345812"
"16150.0_3150.0","16150.0_5350.0","22.0","2200.0"
"38850.0_29350.0","39450.0_31250.0","21.4852816","2148.528137423857"
"4750.0_28550.0","4850.0_27150.0","14.4142136","1441.4213562373095"
"49050.0_34450.0","50050.0_35050.0","12.4852816","1248.528137423857"
"51850.0_30050.0","53650.0_29750.0","19.2426408","1924.2640687119285"
"17750.0_20750.0","18750.0_17950.0","33.798990399999994","3379.898987322333"
"7350.0_13650.0","7550.0_15950.0","23.8284272","2382.842712474619"
"1150.0_49150.0","2150.0_50350.0","16.142136","1614.213562373095"
"38350.0_21050.0","39750.0_19350.0","22.7989904","2279.898987322333"
"26750.0_22150.0","27450.0_21050.0","14.4852816","1448.528137423857"
"38050.0_31550.0","39450.0_31250.0","15.2426408","1524.2640687119285"
"13750.0_43550.0","15150.0_43850.0","15.2426408","1524.2640687119285"
"8750.0_48650.0","9350.0_49450.0","10.4852816","1048.528137423857"
"44050.0_54250.0","45950.0_53950.0","20.2426408","2024.2640687119285"
"12150.0_51150.0","14550.0_54850.0","46.94112639999997","4694.112549695428"
"17050.0_44550.0","18350.0_42350.0","27.3847768","2738.477631085024"
"32850.0_12450.0","38950.0_12850.0","71.52691279999998","7152.6911934581185"
"36950.0_44350.0","38050.0_43650.0","13.8994952","1389.9494936611666"
"38050.0_31550.0","38850.0_29350.0","25.3137088","2531.370849898476"
"26950.0_5250.0","28550.0_4050.0","20.9705632","2097.056274847714"
"37750.0_20550.0","39750.0_19350.0","24.9705632","2497.056274847714"
"29550.0_4050.0","31550.0_2650.0","25.7989904","2579.8989873223336"
"8750.0_48650.0","11450.0_48850.0","27.8284272","2782.842712474619"
"29050.0_10350.0","30850.0_9450.0","27.142136","2714.2135623730956"
"5450.0_29450.0","11550.0_36350.0","94.26702959999987","9426.702730475881"
"51350.0_10550.0","54850.0_9050.0","42.38477679999998","4238.477631085024"
"26250.0_13750.0","27850.0_12350.0","21.7989904","2179.898987322333"
"21750.0_40450.0","23750.0_41650.0","24.9705632","2497.056274847714"
"13750.0_36250.0","23750.0_41650.0","122.9533207999999","12295.331880577403"
"26450.0_9150.0","27950.0_7650.0","24.9705632","2497.056274847714"
"21650.0_35050.0","23750.0_41650.0","74.69848559999994","7469.848480983499"
"8750.0_48650.0","11250.0_49650.0","29.142136","2914.213562373095"
"31850.0_29650.0","36950.0_32250.0","71.87005839999995","7187.005768508881"
"16550.0_43750.0","17550.0_44450.0","12.8994952","1289.9494936611666"
"12050.0_19050.0","13150.0_17050.0","24.5563496","2455.6349186104044"
"51350.0_10550.0","54050.0_12950.0","38.6984856","3869.8484809834995"
"50350.0_5450.0","53850.0_3950.0","41.213203999999976","4121.320343559642"
"2150.0_50550.0","4850.0_52050.0","35.55634959999999","3555.6349186104044"
"4550.0_56850.0","6950.0_57450.0","26.4852816","2648.528137423857"
"20150.0_54150.0","22950.0_53750.0","29.6568544","2965.685424949238"
"1650.0_51950.0","4850.0_52050.0","32.4142136","3241.4213562373097"
"15850.0_15450.0","16250.0_14250.0","17.5563496","1755.6349186104046"
"46950.0_29950.0","48550.0_30350.0","17.6568544","1765.685424949238"
"19150.0_13150.0","19950.0_12950.0","8.8284272","882.842712474619"
"37850.0_54650.0","39850.0_57050.0","34.0416312","3404.163056034262"
"3950.0_21950.0","4450.0_20750.0","15.7279224","1572.7922061357856"
"35550.0_10750.0","41050.0_11150.0","58.31370879999997","5831.370849898476"
"48550.0_51150.0","50450.0_50550.0","21.4852816","2148.528137423857"
"9350.0_49450.0","11450.0_48850.0","23.4852816","2348.528137423857"
"43050.0_39450.0","44150.0_41450.0","24.5563496","2455.6349186104044"
"35550.0_10750.0","39850.0_8850.0","57.012194399999984","5701.219330881975"
"9350.0_49450.0","11250.0_49650.0","20.6568544","2065.685424949238"
"28750.0_25550.0","29950.0_24750.0","16.4852816","1648.528137423857"
"9450.0_19350.0","11750.0_20050.0","27.5563496","2755.6349186104044"
"39850.0_24650.0","40450.0_25950.0","15.4852816","1548.528137423857"
"2050.0_56450.0","2850.0_56150.0","9.2426408","924.2640687119285"
"57350.0_47450.0","57450.0_44450.0","33.7279224","3372.792206135786"
"14550.0_11850.0","16250.0_14250.0","33.9705632","3397.056274847714"
"48550.0_51150.0","48650.0_48750.0","33.6274176","3362.741699796952"
"17750.0_20750.0","21250.0_22450.0","43.79899039999998","4379.898987322333"
"29250.0_47050.0","29350.0_48750.0","28.0416312","2238.477631085024"
"44150.0_41450.0","44450.0_39450.0","21.2426408","2124.2640687119283"
"3850.0_16350.0","3850.0_19850.0","36.6568544","3665.685424949238"
"23750.0_53750.0","27250.0_53550.0","36.6568544","3665.685424949238"
"7350.0_26050.0","8450.0_21950.0","46.72792239999998","4672.792206135786"
"10750.0_8650.0","16050.0_6750.0","60.870058399999934","6087.005768508881"
"14750.0_50450.0","14850.0_48550.0","26.142136","2614.213562373095"
"14850.0_48550.0","16650.0_50050.0","25.3847768","2538.477631085024"
"37850.0_54650.0","38050.0_56950.0","25.4852816","2548.528137423857"
"38350.0_31750.0","38850.0_29350.0","26.071068","2607.106781186548"
"26750.0_22150.0","29950.0_24750.0","42.76955359999998","4276.955262170048"
"42950.0_14350.0","44050.0_12550.0","22.5563496","2255.6349186104044"
"47650.0_37550.0","48550.0_34950.0","29.7279224","2972.792206135786"
"3050.0_44450.0","4750.0_46250.0","25.0416312","2504.1630560342614"
"38050.0_46650.0","38850.0_45950.0","10.8994952","1089.9494936611666"
"38350.0_31750.0","39450.0_31250.0","13.071068","1307.1067811865476"
"30150.0_30550.0","36950.0_32550.0","76.28427199999994","7628.42712474619"
"2650.0_21650.0","4050.0_20450.0","19.5563496","1955.6349186104046"
"51150.0_8550.0","52050.0_7050.0","18.7279224","1872.7922061357856"
"47350.0_32050.0","48650.0_31850.0","13.8284272","1382.842712474619"
"17550.0_44450.0","18350.0_42350.0","24.3137088","2431.370849898476"
"5550.0_1150.0","8050.0_1850.0","27.8994952","2789.9494936611663"
"18750.0_17950.0","21250.0_22450.0","55.355339999999956","5535.533905932738"
"26450.0_9150.0","29050.0_10350.0","30.9705632","3097.056274847714"
"150.0_4550.0","2650.0_650.0","53.45584479999998","5345.584412271572"
"27450.0_21050.0","29950.0_24750.0","47.94112639999996","4794.112549695428"
"27450.0_50050.0","28150.0_46950.0","34.7279224","3472.792206135786"
"7250.0_22950.0","8350.0_26850.0","43.556349599999976","4355.634918610404"
"52150.0_15150.0","53650.0_15450.0","16.2426408","1624.2640687119285"
"27950.0_7650.0","30850.0_9450.0","36.455844799999994","3645.5844122715716"
"17050.0_44550.0","17550.0_44450.0","5.4142136","541.4213562373095"
"33050.0_1850.0","34350.0_4050.0","27.3847768","2738.477631085024"
"58550.0_51350.0","59450.0_49750.0","19.7279224","1972.7922061357856"
"16850.0_12050.0","19950.0_12950.0","37.213204000000005","3721.3203435596433"
"38050.0_31550.0","38350.0_31750.0","3.8284272","382.842712474619"
"12050.0_19050.0","13550.0_19750.0","17.8994952","1789.9494936611666"
"49050.0_12450.0","51150.0_10750.0","28.6274176","2862.741699796952"
"16750.0_32750.0","18550.0_32050.0","20.8994952","2089.9494936611663"
"16850.0_30850.0","18550.0_32050.0","24.8994952","2489.9494936611663"
"11150.0_57850.0","12150.0_51150.0","75.28427199999996","7528.427124746192"
"19150.0_17650.0","20750.0_19250.0","26.142136","2614.213562373095"
"1350.0_53250.0","1450.0_55250.0","20.4142136","2041.4213562373095"
"16550.0_43750.0","18350.0_42350.0","23.7989904","2379.898987322333"
"46750.0_19950.0","50850.0_17750.0","51.28427199999996","5128.42712474619"
"10750.0_57250.0","13550.0_51950.0","66.35533999999994","6635.533905932738"
"31150.0_26050.0","32650.0_26650.0","17.4852816","1748.528137423857"
"26550.0_31350.0","28050.0_29850.0","21.213204","2121.3203435596424"
"11050.0_50.0","14350.0_1750.0","42.9705632","4297.056274847714"
"10650.0_13450.0","13050.0_15350.0","31.8700584","3187.0057685088805"
"31150.0_26050.0","32350.0_27750.0","21.9705632","2197.056274847714"
"46050.0_19250.0","50350.0_19450.0","50.213203999999976","5021.320343559642"
"16850.0_12050.0","19150.0_13150.0","30.0416312","3004.163056034262"
"19150.0_17650.0","21150.0_22650.0","58.28427199999996","5828.42712474619"
"13950.0_42250.0","15150.0_43850.0","20.9705632","2097.056274847714"
"27450.0_21050.0","28750.0_25550.0","52.041631199999955","5204.163056034262"
"26750.0_15450.0","28350.0_13850.0","22.6274176","2262.741699796952"
"26450.0_9150.0","30850.0_9450.0","45.242640800000004","4524.264068711929"
"13150.0_17050.0","13550.0_19750.0","28.6568544","2865.685424949238"
"14550.0_11850.0","15850.0_15450.0","41.38477679999998","4138.477631085023"
"38050.0_56950.0","39850.0_57050.0","18.4142136","1841.4213562373095"
"8050.0_30250.0","11750.0_36150.0","75.1543303999999","7515.432893255071"
"43050.0_39450.0","44450.0_39450.0","14.8284272","1482.842712474619"
"42050.0_6050.0","43350.0_5450.0","15.4852816","1548.528137423857"
"45050.0_48650.0","47150.0_48250.0","22.6568544","2265.685424949238"
"27950.0_7650.0","29050.0_10350.0","31.5563496","3155.6349186104044"
"48650.0_48750.0","50450.0_50550.0","26.0416312","2604.163056034262"
"13750.0_43550.0","13950.0_42250.0","13.8284272","1382.842712474619"
"20050.0_8650.0","22350.0_7950.0","26.7279224","2672.792206135786"
"11150.0_57850.0","14550.0_54850.0","63.355339999999956","6335.533905932738"
"26750.0_22150.0","28750.0_25550.0","44.52691279999998","4452.6911934581185"
"16550.0_43750.0","17050.0_44550.0","10.071068","1007.1067811865476"
"34550.0_6650.0","35050.0_10050.0","36.071068","3607.106781186548"
"31350.0_10050.0","35050.0_10050.0","40.313708799999986","4031.370849898476"
"36950.0_32250.0","36950.0_32550.0","3.0","300.0"
"38050.0_43650.0","38050.0_46650.0","30.8284272","3082.8427124746195"
"21150.0_22650.0","21250.0_22450.0","2.4142136","241.4213562373095"
"19950.0_9050.0","20050.0_8650.0","4.4142136","441.4213562373095"
"29950.0_24750.0","30250.0_21950.0","37.28427199999999","3728.42712474619"
"8350.0_26850.0","8450.0_21950.0","51.071068","5107.106781186547"
"58250.0_50650.0","58550.0_51350.0","8.2426408","824.2640687119285"
"31050.0_5050.0","31550.0_2650.0","26.071068","2607.106781186548"
"10750.0_57250.0","14550.0_54850.0","59.012194399999956","5901.219330881976"
"18650.0_11550.0","19150.0_13150.0","18.071068","1807.1067811865476"
"20750.0_19250.0","21250.0_22450.0","38.21320399999999","3821.3203435596424"
"11050.0_58450.0","12450.0_59950.0","25.3847768","2138.477631085024"
"47350.0_32050.0","48550.0_30350.0","21.9705632","2197.056274847714"
"13750.0_43550.0","15350.0_43650.0","16.4142136","1641.4213562373095"
"29950.0_21250.0","29950.0_24750.0","43.04163119999998","4304.163056034262"
"10750.0_57250.0","12150.0_51150.0","70.94112639999996","7094.11254969543"
"26750.0_15450.0","27850.0_12350.0","35.55634959999999","3555.6349186104044"
"16150.0_5350.0","18450.0_5950.0","27.9705632","2797.056274847714"
"49050.0_12450.0","50450.0_10350.0","29.7279224","2972.792206135786"
"3950.0_21950.0","4050.0_20450.0","17.071068","1707.1067811865476"
"11150.0_57850.0","13550.0_51950.0","70.69848559999996","7069.8484809835"
"43750.0_47750.0","44750.0_48950.0","17.3137088","1731.370849898476"
"7250.0_22950.0","7350.0_26050.0","35.899495200000004","3589.9494936611663"
"52150.0_15150.0","53550.0_13450.0","22.7989904","2279.898987322333"
"31250.0_26950.0","32350.0_27750.0","14.3137088","1431.370849898476"
"40450.0_25950.0","42650.0_24750.0","26.9705632","2697.056274847714"
"1650.0_51950.0","3850.0_53950.0","32.0416312","3204.1630560342614"
"1550.0_13050.0","3850.0_16350.0","65.69848559999996","6569.848480983499"
